"name","spm_support"
"SCNViewController",TRUE
"Tribool",TRUE
"Int3",TRUE
"SCNMathExtensions",TRUE
"GoodSwift",TRUE
"Pageboy",TRUE
"YNDropDownMenu",TRUE
"DominoKit",TRUE
"SwinjectAutoregistration",TRUE
"Atributika",TRUE
"IPhotoBrowser",TRUE
"SwiftySensors",TRUE
"SwiftyChrono",TRUE
"FSPagerView",TRUE
"SwiftySensorsWahoo",TRUE
"MoyaObjectMapper",TRUE
"Eventually",TRUE
"Bits",TRUE
"SwiftySound",TRUE
"Endpoints",TRUE
"GPEngine",TRUE
"SwiftMsgPack",TRUE
"Kommander",TRUE
"Debugging",TRUE
"DateToolsSwift",TRUE
"Guitar",TRUE
"StencilSwiftKit",TRUE
"BxTextField",TRUE
"MoyaModelMapper",TRUE
"BadgeSegmentControl",TRUE
"Yet",TRUE
"ValidationToolkit",TRUE
"FieryCrucible",TRUE
"MusicNotationCore",TRUE
"ConvertNumbersToWords",TRUE
"StoreKitCompanion",TRUE
"Magellan",TRUE
"UtilitiesInSwift",TRUE
"MirrorDiffKit",TRUE
"SJStringScore",TRUE
"LTModalViewController",TRUE
"HoneyBee",TRUE
"Currier",TRUE
"YouTubeFloatingPlayer",TRUE
"MoyaUnbox",TRUE
"NSLock+Synchronized",TRUE
"Leeloo",TRUE
"Tabman",TRUE
"MoreCharacterSets",TRUE
"RangeSeekSlider",TRUE
"Swift.Json",TRUE
"DeeplinkNavigator",TRUE
"BetterLibrary",TRUE
"ZHTableViewGroupSwift",TRUE
"SCHRAsync",TRUE
"BlueSocket",TRUE
"YNExpandableCell",TRUE
"gausskrueger",TRUE
"CopyOnWrite",TRUE
"WazeKit",TRUE
"SwiftDown",TRUE
"Fluxer",TRUE
"SwiftMark",TRUE
"KJHUtility",TRUE
"DynuREST",TRUE
"Snapsure",TRUE
"Dicey",TRUE
"Magnetic",TRUE
"Sparse",TRUE
"Mechanica",TRUE
"Cooking",TRUE
"CountryPickerSwift",TRUE
"Cachyr",TRUE
"RbSwift",TRUE
"SwiftIcons",TRUE
"TransitionRouter",TRUE
"Envoy",TRUE
"MiniDOM",TRUE
"NaturalKorean",TRUE
"RangeUISlider",TRUE
"Strongify",TRUE
"SKClient",TRUE
"SKServer",TRUE
"ReactiveCollections",TRUE
"Tumbleweed",TRUE
"Require",TRUE
"RevealingTableViewCell",TRUE
"Haptica",TRUE
"Smock",TRUE
"SwiftBeaker",TRUE
"ButtonProgressBar-iOS",TRUE
"SMLib",TRUE
"Cluster",TRUE
"RxAutomaton",TRUE
"UIFontComplete",TRUE
"YNSearch",TRUE
"WebAPIKit",TRUE
"cdTaskQueue",TRUE
"CloudCore",TRUE
"TortoiseGraphics",TRUE
"SwiftSky",TRUE
"SwiftBase32",TRUE
"DataCompression",TRUE
"Logg",TRUE
"ReactorKit",TRUE
"Stringfication",TRUE
"IntN",TRUE
"NetClient",TRUE
"APIManager",TRUE
"VaporBits",TRUE
"VaporDebugging",TRUE
"LUAutocompleteView",TRUE
"SwiftHash",TRUE
"SwiftShell",TRUE
"FileSmith",TRUE
"AEXML-CU",TRUE
"Gong",TRUE
"PMJackson",TRUE
"DateOfEaster",TRUE
"Komponents",TRUE
"AsyncRequest",TRUE
"AVPlayerItemHomeOutput",TRUE
"L10n-swift",TRUE
"InstantMock",TRUE
"FlexibleImage",TRUE
"EmojiOne",TRUE
"LaunchScreenSnapshot",TRUE
"SwiftFlatBuffers",TRUE
"NodeCocoapods",TRUE
"GRDBCipher",TRUE
"JSONCocoapods",TRUE
"PVSS",TRUE
"Waffle",TRUE
"SwiftySensorsTrainers",TRUE
"PnutKit",TRUE
"TenCenturiesKit",TRUE
"Announce",TRUE
"SOSwift",TRUE
"RDGliderViewController-Swift",TRUE
"LHIPhotoBrowser",TRUE
"Immutable",TRUE
"ShiftOperations",TRUE
"ViewComposer",TRUE
"SwiftyXML",TRUE
"SwiftProtobuf",TRUE
"PinLayout",TRUE
"PackStream",TRUE
"BoltProtocol",TRUE
"Theo",TRUE
"JSONFeedKit",TRUE
"MixerAPI",TRUE
"Swift.Binary",TRUE
"BlueSSLService",TRUE
"Transactions",TRUE
"MyExtensions",TRUE
"EventAnalytics",TRUE
"LLRegex",TRUE
"Umbrella",TRUE
"SCountLabel",TRUE
"Sourcery-AutoJSONSerializable",TRUE
"SwiftyRadio",TRUE
"Emarcam",TRUE
"RingSig",TRUE
"Hypertext",TRUE
"PageKit",TRUE
"Nappa",TRUE
"NSRegExNamedCaptureGroup",TRUE
"LemonDeer",TRUE
"DBNetworkStack",TRUE
"EasyDi",TRUE
"Threadly",TRUE
"SwiftyHaru",TRUE
"OperationLayer",TRUE
"BxUpdateManager",TRUE
"DeallocationChecker",TRUE
"TabNavigatable",TRUE
"EventsTree",TRUE
"VMLogger",TRUE
"USBDeviceSwift",TRUE
"ZIPFoundation",TRUE
"Bulk",TRUE
"SwiftDevTools",TRUE
"JQProgressHUD",TRUE
"FilesProvider",TRUE
"Unreachable",TRUE
"Freedom",TRUE
"RxFeedback",TRUE
"PMSuperButton",TRUE
"StringKit",TRUE
"InstructionsAppExtensions",TRUE
"IMNetworkReachability",TRUE
"Reflex",TRUE
"ElasticSwift",TRUE
"Monreau",TRUE
"RxViewController",TRUE
"Transformer",TRUE
"Zipper",TRUE
"Instantiate",TRUE
"InstantiateStandard",TRUE
"AsyncTimer",TRUE
"EntropyString",TRUE
"Tracing",TRUE
"Socket.swift",TRUE
"VIPER",TRUE
"DataDecoder",TRUE
"Message",TRUE
"Http.swift",TRUE
"SimpleImageViewer",TRUE
"Lagoon",TRUE
"SwiftyShadow",TRUE
"ApesterKit",TRUE
"Lioness",TRUE
"Request.swift",TRUE
"SKCore",TRUE
"SKWebAPI",TRUE
"SKRTMAPI",TRUE
"PhotoCollectionView",TRUE
"StuWeDD",TRUE
"StarscreamSocketIO",TRUE
"BPBlockActivityIndicator",TRUE
"NIO",TRUE
"AppModules",TRUE
"DGSideNavigation",TRUE
"Thingy",TRUE
"Spreadbot_iOS",TRUE
"Cosmic",TRUE
"Disk",TRUE
"Edge",TRUE
"IdylleClient",TRUE
"BeaconKit",TRUE
"Omicron",TRUE
"ViaSwiftUtils",TRUE
"AppwiseCore",TRUE
"AlertReactor",TRUE
"TransitionButton",TRUE
"NSKJSON",TRUE
"Stubber",TRUE
"OrderedPageViewController",TRUE
"Socket.IO-Client-Swift-Q",TRUE
"SwiftDSSocket",TRUE
"APJExtensions",TRUE
"xcodeproj",TRUE
"Autoprotocols",TRUE
"SwiftyImageCache",TRUE
"Toggler",TRUE
"Logboard",TRUE
"UIDeviceComplete",TRUE
"ToggleSwitch",TRUE
"Cider",TRUE
"ExpandableCell",TRUE
"UICollectionViewFlexLayout",TRUE
